Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3,Genre_Principal,Annee,Ecart_Qualite,Score_Editorial,Decision_Finale
Frieren: Beyond Journey's End,Adventure / Fantasy,Manga,28,En cours,Madhouse,2023-09-29,9.3,9.4,Ep 10: Frieren the Slayer,Démonstration de puissance calme et terrifiante.,7.3,Ep 22: Future Enemies,"Rythme un peu plus lent, transition vers l'examen de mage.",Voyage mélancolique sur le temps qui passe et le deuil.,"Production Madhouse sublime, ambiance 'comfy' et contemplative.",Les relations subtiles (Frieren/Fern/Stark) sont le coeur du récit.,Adventure,2023,2.1000000000000005,9.09,✅ Valeur Sûre
Steins;Gate,Sci-Fi / Thriller,Visual Novel,24,Fini,White Fox,2011-04-06,9.1,9.7,Ep 22: Being Meltdown,Le choix impossible entre Kurisu et Mayuri. Sommet émotionnel.,7.8,Ep 1: Turning Point,"Début très lent et confus (voulu), filtre beaucoup de spectateurs.","Mise en place lente, tranche de vie et théories temporelles.","Basculement dans le thriller, course contre la montre pour sauver Mayuri.",Dénouement et atteinte de la ligne d'univers Steins Gate.,Sci-Fi,2011,1.8999999999999995,8.91,💎 PÉPITE (A acheter)
Fullmetal Alchemist: Brotherhood,Aventure / Military,Manga,64,Fini,Bones,2009-04-05,9.1,9.6,Ep 63: De l'autre côté de la porte,"Sacrifice thématique parfait, conclusion magistrale.",6.3,Ep 27: Intermède (Recap),Episode récapitulatif cassant le rythme.,"Début effréné, traumatisme Nina Tucker marquant.",Complot politique et Mustang brille contre Lust.,"Ambiance militaire froide à Briggs, tension monte.",Aventure,2009,3.3,8.77,✅ Valeur Sûre
Monster,Thriller / Mystery,Manga,74,Fini,Madhouse,2004-04-07,8.9,9.1,Ep 4: Night of Punishment,Tension insoutenable et écriture magistrale.,7.4,Ep 8: The Fugitive,"Rythme plus lent, mise en place des pièces.",Johan Liebert est le meilleur méchant de l'histoire.,Un thriller psychologique lent mais incroyablement récompensant.,"Pas de pouvoirs, juste la noirceur de l'âme humaine.",Thriller,2004,1.6999999999999993,8.73,💎 PÉPITE (A acheter)
Vinland Saga,Adventure / Drama,Manga,48,En cours,Wit Studio / MAPPA,2019-07-08,8.8,8.9,Ep 2x22: Emperor of Rebellion,'I have no enemies'. L'aboutissement du pacifisme de Thorfinn.,7.4,Ep 13: Child of a Hero,Transition un peu plus faible au milieu de la S1.,Changement radical de ton entre S1 (Guerre) et S2 (Fermier).,Une des meilleures évolutions de personnage (Thorfinn).,,Adventure,2019,1.5,8.65,💎 PÉPITE (A acheter)
Les Carnets de l'apothicaire,Mystery / Historical,Light Novel,24,En cours,OLM,2023-10-22,8.8,9.5,Ep 19: Maomao,Scène de danse/sacrifice visuellement magnifique et tragique.,7.9,Ep 7: Retour à la maison,"Rythme plus posé, enquête mineure, mais reste très bon.","Enquêtes à la cour impériale, Maomao est une héroïne cynique géniale.","Complots politiques s'épaississent, passé de Maomao révélé.",(Saison 2 annoncée),Mystery,2023,1.5999999999999996,8.64,💎 PÉPITE (A acheter)
Hajime no Ippo,Sport / Boxing,Manga,76,Fini,Madhouse,2000-10-04,8.8,9.2,Ep 75: The First Step,Conclusion de la saison 1. Ippo devient champion.,7.5,Ep 30: Motivation,"Quelques longueurs, mais nécessaire pour le développement.",Le meilleur anime de sport pour ressentir les impacts.,Takamura est hilarant et terrifiant à la fois.,Dempsey Roll ! Les bruitages de jet engine sont iconiques.,Sport,2000,1.6999999999999993,8.63,💎 PÉPITE (A acheter)
Hunter x Hunter (2011),Adventure / Shonen,Manga,148,Fini,Madhouse,2011-10-02,9.0,9.7,Ep 131: Colère x et x Lumière,La transformation de Gon. Animation et émotion terrifiantes.,5.9,Ep 13: Lettre x de x Gon (Recap),"Episode résumé très tôt dans la série, inutile.",Examen Hunter : Aventure pure et découverte des amis.,"Yorknew City : Ambiance noire, Kurapika vs la Brigade Fantôme.",Chimera Ant : L'arc le plus sombre et philosophique du Shonen.,Adventure,2011,3.799999999999999,8.620000000000001,✅ Valeur Sûre
Mushishi,Slice of Life / Supernatural,Manga,26,Fini,Artland,2005-10-23,8.7,9.4,Ep 12: One-Eyed Fish,Histoire poétique et mélancolique typique de la série.,8.0,Ep 5: The Traveling Swamp,"Pas de mauvais épisode, juste des histoires moins marquantes.","Voyage de Ginko, histoires épisodiques apaisantes.",Exploration de la nature invisible (Mushi) et de l'humain.,"Pas de fil rouge fort, mais une ambiance unique et constante.",Slice of Life,2005,1.4000000000000004,8.559999999999999,💎 PÉPITE (A acheter)
Cowboy Bebop,Sci-Fi / Noir,Original,26,Fini,Sunrise,1998-04-03,8.8,9.7,Ep 26: The Real Folk Blues Pt.2,Fin poétique et iconique. Bang.,7.2,Ep 23: Boogie Woogie Feng Shui,Intrigue faible et rythme un peu mou.,Formation de l'équipe et choc visuel à l'église.,Exploration mélancolique du passé (Jupiter Jazz).,Confrontation fatale avec le Syndicat et Vicious.,Sci-Fi,1998,2.499999999999999,8.55,✅ Valeur Sûre
